fine_amount,penalty_amount,interest_amount,payment_amount,amount_due,total_charges,net_paid,unpaid_balance_ratio,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,county_encoded,issuing_agency_encoded,violation_status_encoded,license_type_encoded,cluster
115.0,60.0,0.91,175.61,0.0,175.91,175.31,0.0,2025,5,17,5,2,1,3,5,6,8,1
115.0,60.0,18.129699999999985,201.19,0.0,193.1297,200.97,0.0,2023,8,31,3,3,0,5,5,6,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,1,9,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,4,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,1,1,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,11,4,2,0,1,0,6,8,0
35.0,0.0,0.0,35.0,0.0,35.0,35.0,0.0,2023,4,26,2,2,0,1,6,1,1,2
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,11,4,2,0,1,0,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,12,29,6,4,1,1,1,6,7,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,1,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,1,1,6,8,2
115.0,60.0,18.129699999999985,201.25599999999997,0.0,193.1297,201.25599999999997,0.0,2019,12,14,5,4,1,2,6,3,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,13,2,4,0,5,7,3,8,2
